path,foundType,descriptiveType,unique,default,description,choices,regex
data/manifest.js:$.dataTypes.listsSubscribed,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsSubscribed.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsSubscribed.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsSubscribed.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsSubscribed.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.listsSubscribed.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.moment,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.moment.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.moment.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.moment.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.moment.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.moment.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.moment.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.momentsMedia,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.momentsMedia.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.momentsTweetsMedia,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.momentsTweetsMedia.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.mute,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.mute.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.mute.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.mute.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.mute.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.mute.files[*].count,str,None,None,None,None,None,None
